Time,total active power,total reactive power,total apparent power,total power factor,
2023-07-04T21:03:10.831227,65.507,0,0.036,64.735,
2023-07-04T21:03:11.059345,65.507,0,0.036,64.734,
2023-07-04T21:03:11.306047,65.507,0,0.036,64.733,
2023-07-04T21:03:11.635284,65.507,0,0.036,64.733,
2023-07-04T21:03:11.863348,65.507,0,0.036,64.732,
2023-07-04T21:03:12.097497,65.507,0,0.036,64.732,
2023-07-04T21:03:12.326354,65.507,0,0.036,64.735,
2023-07-04T21:03:12.641481,65.507,0,0.036,64.735,
2023-07-04T21:03:12.869434,65.507,0,0.036,64.734,
2023-07-04T21:03:13.097700,65.507,0,0.036,64.733,
2023-07-04T21:03:13.335267,65.507,0,0.036,64.735,
2023-07-04T21:03:13.622995,65.507,0,0.036,64.734,
2023-07-04T21:03:13.871668,65.507,0,0.036,64.735,
2023-07-04T21:03:14.102916,65.507,0,0.036,64.733,
2023-07-04T21:03:14.333348,65.507,0,0.036,64.733,
2023-07-04T21:03:14.581389,65.507,0,0.036,64.733,
2023-07-04T21:03:14.828678,65.507,0,0.036,64.73,
2023-07-04T21:03:15.057219,65.507,0,0.036,64.733,
2023-07-04T21:03:15.283258,65.507,0,0.036,64.736,
2023-07-04T21:03:15.720935,65.507,0,0.036,64.734,
2023-07-04T21:03:15.947954,65.507,0,0.036,64.734,
2023-07-04T21:03:16.181490,65.507,0,0.036,64.732,
2023-07-04T21:03:16.410856,65.507,0,0.036,64.734,
2023-07-04T21:03:16.721382,65.507,0,0.036,64.734,
2023-07-04T21:03:16.950264,65.507,0,0.036,64.731,
2023-07-04T21:03:17.180011,65.507,0,0.036,64.733,
2023-07-04T21:03:17.417019,65.507,0,0.036,64.732,
2023-07-04T21:03:17.703548,65.507,0,0.036,64.735,
2023-07-04T21:03:17.932339,65.507,0,0.036,64.734,
2023-07-04T21:03:18.160615,65.507,0,0.036,64.733,
2023-07-04T21:03:18.386277,65.507,0,0.036,64.735,
