Time,DIFF0,
2023-11-17T10:46:33.404972,63916,63908,
2023-11-17T10:46:35.419990,63840,63868,
2023-11-17T10:46:37.424357,63908,63920,
2023-11-17T10:46:39.439212,63848,63876,
2023-11-17T10:46:41.443004,63888,63912,
2023-11-17T10:46:43.448352,63912,64632,
2023-11-17T10:46:45.454015,63868,63904,
2023-11-17T10:46:47.458584,63908,63880,
2023-11-17T10:46:49.461177,63860,63892,
2023-11-17T10:46:51.465096,64596,63912,
2023-11-17T10:46:53.468931,65092,63908,
2023-11-17T10:46:55.475677,63868,65028,
2023-11-17T10:46:57.479476,64584,63876,
2023-11-17T10:46:59.484861,63884,63896,
2023-11-17T10:47:01.487891,63904,63896,
2023-11-17T10:47:03.492123,63872,63948,
2023-11-17T10:47:05.496521,63872,63876,
2023-11-17T10:47:07.500399,63864,63928,
2023-11-17T10:47:09.503843,65036,63836,
2023-11-17T10:47:11.508865,63864,63856,
2023-11-17T10:47:13.523127,65128,63852,
